iter	Passed	Remaining
719	2185	849
720	2187	846
721	2190	843
722	2193	840
723	2195	837
724	2198	833
725	2201	830
726	2203	827
727	2206	824
728	2208	821
729	2211	817
730	2214	814
731	2217	811
732	2219	808
733	2222	805
734	2225	802
735	2228	799
736	2230	796
737	2233	793
738	2236	789
739	2239	786
740	2241	783
741	2244	780
742	2247	777
743	2250	774
744	2252	771
745	2255	767
746	2258	764
747	2261	761
748	2263	758
749	2266	755
750	2269	752
751	2271	749
752	2274	746
753	2276	742
754	2279	739
755	2282	736
756	2285	733
757	2287	730
758	2290	727
759	2292	724
760	2295	720
761	2298	717
762	2301	714
763	2303	711
764	2307	708
765	2309	705
766	2312	702
767	2315	699
768	2317	696
769	2320	693
770	2322	689
771	2325	686
772	2328	683
773	2331	680
774	2333	677
775	2336	674
776	2339	671
777	2342	668
778	2345	665
779	2347	662
780	2350	659
781	2353	655
782	2355	652
783	2358	649
784	2360	646
785	2363	643
786	2366	640
787	2368	637
788	2371	634
789	2374	631
790	2376	627
791	2379	625
792	2396	625
793	2399	622
794	2401	619
795	2404	616
796	2407	613
797	2410	610
798	2413	607
799	2416	604
800	2419	601
801	2422	598
802	2425	595
803	2428	592
804	2431	588
805	2433	585
806	2436	582
807	2439	579
808	2441	576
809	2444	573
810	2447	570
811	2449	567
812	2452	564
813	2455	560
814	2457	557
815	2460	554
816	2463	551
817	2466	548
818	2470	546
819	2473	543
820	2476	540
821	2480	537
822	2483	534
823	2486	530
824	2488	527
825	2491	524
826	2493	521
827	2496	518
828	2499	515
829	2503	512
830	2506	509
831	2509	506
832	2512	503
833	2515	500
834	2518	497
835	2521	494
836	2523	491
837	2526	488
838	2529	485
839	2532	482
840	2534	479
841	2537	476
842	2540	473
843	2542	469
844	2545	466
845	2548	463
846	2551	460
847	2561	459
848	2564	456
849	2567	453
850	2570	450
851	2573	447
852	2576	444
853	2579	440
854	2582	437
855	2585	434
856	2588	431
857	2607	431
858	2610	428
859	2613	425
860	2615	422
861	2618	419
862	2620	416
863	2623	412
864	2626	409
865	2629	406
866	2632	403
867	2635	400
868	2638	397
869	2641	394
870	2643	391
871	2646	388
872	2652	385
873	2655	382
874	2657	379
875	2660	376
876	2663	373
877	2666	370
878	2669	367
879	2672	364
880	2675	361
881	2678	358
882	2680	355
883	2683	352
884	2686	349
885	2689	346
886	2692	343
887	2695	339
888	2697	336
889	2700	333
890	2702	330
891	2705	327
892	2708	324
893	2712	321
894	2715	318
895	2718	315
896	2720	312
897	2723	309
898	2726	306
899	2729	303
900	2732	300
901	2735	297
902	2738	294
903	2740	291
904	2743	288
905	2746	284
906	2749	281
907	2752	278
908	2754	275
909	2757	272
910	2760	269
911	2762	266
912	2765	263
913	2768	260
914	2770	257
915	2774	254
916	2777	251
917	2779	248
918	2782	245
919	2785	242
920	2787	239
921	2791	236
922	2794	233
923	2797	230
924	2800	227
925	2803	224
926	2805	220
927	2808	217
928	2811	214
929	2814	211
930	2817	208
931	2820	205
932	2822	202
933	2825	199
934	2828	196
935	2831	193
936	2834	190
937	2837	187
938	2840	184
939	2842	181
940	2845	178
941	2848	175
942	2850	172
943	2853	169
944	2856	166
945	2859	163
946	2861	160
947	2864	157
948	2867	154
949	2869	151
950	2873	148
951	2876	145
952	2879	142
953	2882	138
954	2885	135
955	2888	132
956	2891	129
957	2894	126
958	2896	123
959	2899	120
960	2902	117
961	2905	114
962	2908	111
963	2911	108
964	2914	105
965	2917	102
966	2920	99
967	2923	96
968	2925	93
969	2929	90
970	2932	87
971	2935	84
972	2937	81
973	2940	78
974	2943	75
975	2946	72
976	2948	69
977	2951	66
978	2954	63
979	2956	60
980	2959	57
981	2962	54
982	2965	51
983	2968	48
984	2971	45
985	2974	42
986	2977	39
987	2979	36
988	2982	33
989	2985	30
990	2987	27
991	2991	24
992	2994	21
993	2997	18
994	3000	15
995	3003	12
996	3005	9
997	3008	6
998	3011	3
999	3014	0
